trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9900498337491681}",20,0,-116.76656021699533,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.9801986733067553}",25,0,-178.62280521124617,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.4, 'e': 0.9704455335485082}",25,0,-187.90939626624075,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.9607894391523232}",20,0,-125.0718228457565,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.951229424500714}",25,0,-89.35747380562879,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.9417645335842487}",35,0,-143.12775368193803,"{0: 25, 1: 3, 2: 2, 3: 3, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.9323938199059483}",25,0,-143.62078633254353,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9231163463866358}",25,0,-81.39564233227368,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.9139311852712282}",20,0,-149.42658286256227,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.9048374180359595}",20,0,-122.95316829742947,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.8958341352965282}",20,0,-109.94441531127656,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.8869204367171575}",25,0,-106.67423519692488,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.8780954309205613}",25,0,-57.36591552027565,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.8693582353988059}",25,0,-161.04025790450885,"{0: 14, 1: 2, 2: 3, 3: 5, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.8607079764250578}",30,0,-165.0404534023012,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.4, 'e': 0.8521437889662113}",20,0,-127.72318160966292,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.4, 'e': 0.8436648165963837}",30,0,-217.61957070273436,"{0: 16, 1: 0, 2: 10, 3: 1, 4: 3}",0
18,False,"{'a': 0.4, 'e': 0.835270211411272}",25,0,-102.20994031990196,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.8269591339433623}",30,0,-78.61652518161691,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.8187307530779818}",30,0,-150.77523806461033,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.4, 'e': 0.8105842459701871}",30,0,-121.971572088457,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.8025187979624785}",20,0,-111.12393570727023,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.4, 'e': 0.794533602503334}",20,0,-102.3534387730183,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.7866278610665535}",20,0,-60.48006069853249,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.4, 'e': 0.7788007830714049}",35,0,-233.82321780135177,"{0: 21, 1: 4, 2: 4, 3: 2, 4: 4}",0
26,False,"{'a': 0.4, 'e': 0.7710515858035663}",25,18,6.927030214623764,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.4, 'e': 0.7633794943368531}",20,1,11.195011666133468,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.4, 'e': 0.7557837414557255}",25,17,-34.906297848415285,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.4, 'e': 0.7482635675785653}",20,0,-46.372653436623814,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.7408182206817179}",30,0,-23.442286443590614,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.4, 'e': 0.7334469562242892}",30,0,-87.85883026894243,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.4, 'e': 0.7261490370736909}",20,6,-87.5747675737581,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
33,False,"{'a': 0.4, 'e': 0.7189237334319262}",25,0,-77.5789153298551,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.4, 'e': 0.7117703227626098}",20,0,-31.57843976540398,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.4, 'e': 0.7046880897187134}",20,0,-13.09873871551631,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.4, 'e': 0.697676326071031}",20,3,-112.93932119315983,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 2}",1
37,False,"{'a': 0.4, 'e': 0.6907343306373547}",25,0,-38.5772285281501,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
38,False,"{'a': 0.4, 'e': 0.6838614092123558}",30,20,12.122373443839495,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.4, 'e': 0.6770568744981647}",20,0,-54.16346212389963,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
40,False,"{'a': 0.4, 'e': 0.6703200460356393}",25,13,-7.8050671903023865,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.4, 'e': 0.6636502501363194}",20,0,-57.35783845599775,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.4, 'e': 0.6570468198150569}",35,0,-54.349309749782776,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.6505090947233165}",25,10,-20.19287202959813,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.6440364210831414}",25,7,-6.645241575359685,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.4, 'e': 0.6376281516217733}",20,0,-14.659240873478469,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.4, 'e': 0.631283645506926}",25,13,-100.67788626770508,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 2}",1
47,False,"{'a': 0.4, 'e': 0.6250022682827008}",35,13,-44.68097748021461,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
48,False,"{'a': 0.4, 'e': 0.6187833918061408}",25,0,-26.879024509962417,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.4, 'e': 0.6126263941844161}",20,0,-76.4212682810384,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.6065306597126334}",25,3,-87.51736343114406,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 2}",1
51,False,"{'a': 0.4, 'e': 0.600495578812266}",30,19,-5.116766481582006,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.5945205479701944}",20,8,-15.999407232699372,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.5886049696783552}",20,0,-70.00984832508098,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
