trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.155631507617805,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.32047735191001,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,7,-52.607523624633444,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.0081997480673,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-110.92002311250066,"{0: 22, 1: 3, 2: 8, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.25109509414,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,13,-0.9989529241526984,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,3,-124.38420171750738,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.39391553625114,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.14208309594355,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.04142229932648,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,11,-39.63984240048743,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.40800150616852,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.73934049884014,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,4,-122.58811778208549,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.45590580005565,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.65036407597277,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.96026841557025,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.79416174038896,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.67894427020948,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.05006422055536,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-99.43885345202199,"{0: 20, 1: 5, 2: 10, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-131.80888789763335,"{0: 17, 1: 4, 2: 14, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.423254631562926,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.6138580074963,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-126.69594429983303,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.36624791925775,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.88501965246064,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-223.96164068797387,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-186.68704194354308,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
